WARSIM_UnitType
acquisition
ada_gun
ada_missile
ada_radar
adjutant_general
aerial_exploitation
aerial_exploitation_imint
aerial_exploitation_multi_int
aerial_exploitation_sigint
air_ambulance
air_base
air_convoy
air_defense
air_sensor
aircraft_carrier
ambulance
ammunition
amphibious_warfare_ship
anti_tank
any_type
armed_civilian
armed_small_craft
armed_uav
armored
armored_calvary
armored_personnel_carrier
arty_laser_designator
arty_missile
arty_radar
arty_self_propelled
arty_towed
aviation
aviation_armed_transport
aviation_attack
aviation_cargo
aviation_headquarters
aviation_scouts
aviation_support
awacs
biological
bridge
cache
chaplain
chemical_nuclear
civil_affairs
civilians
class_i_supply
class_ii_supply
class_iii_supply
class_iiib_supply
class_iiip_supply
class_iv_supply
class_v_supply
class_vi_supply
class_vii_supply
class_viii_supply
class_ix_supply
class_x_supply
cobraball
combat_arms
combat_engineers
combat_logistics_ship
combat_service_support
combat_support
convoy
counter_intelligence
cp
cp_component
cram
cruise_missile
decon
demolition
dismounted_infantry
dismounted_scouts
earth_movers
electronic_warfare
engineer
farp
field_artillery
finance
fixed_wing_armed_transport
fixed_wing_attack
fixed_wing_cargo
general_supply
ground_ambulance
ground_sensor
ground_surveillance_radar
ground_transportation
hct
headquarters
himad
humint
i_rembass
infantry
infantry_fighting_vehicle
infantry_scout
intel_shop
interrogation
jstars
judge_advocate_general
liaison
long_range_surveillance
maintenance
medical
military_intelligence
military_intelligence_operations
military_police
missile
mlrs_self_propelled
mlrs_towed
mortar
mounted_scouts
mse
naval
nbc
nbc_recon
non_avlb
non_combatant
non_mse
obstacle_layers
ordnance
prisoners
psychological_operations
quartermaster
quickfix_ii
recovery
refugees
repair
rotary_wing_armed_transport
rotary_wing_attack
rotary_wing_cargo
satellite
sensor
shorad
signal_corps
simulated_unit
smoke
special_operating_forces
special_recon
steel_eagle
steel_rattler
strategic_humint
surface_cargo_ships
surface_combatant_ships
surfaced_submarines
tactical_ballistic_missile
tank
trains_cp
treatment
uav_ground_station
unarmed_small_craft
unmanned_aerial_vehicle
vehicle_launched_bridge
water_supply
